Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14/08/2020,EQ,451.5,451.5,425.6,448.1,436.3,435.85,437.21,765.85,286,36726464,16057299564,251696
13/08/2020,EQ,454.1,456.75,445.35,451.1,450,448.1,450.43,765.85,286,21885898,9858147484,176927
12/08/2020,EQ,444.8,452.75,438.95,448,450,451.1,447.74,765.85,286,23184443,10380629913,209665
11/08/2020,EQ,435.3,449.9,435.3,431.1,448,448,443.6,765.85,286,30469680,13516501107,257119
10/08/2020,EQ,434,437,429.3,433.3,431.8,431.1,433.65,765.85,286,14888275,6456281969,131635
07/08/2020,EQ,431.45,437,427.15,433,433.2,433.3,433.75,765.85,286,15570556,6753782143,132147
06/08/2020,EQ,436,438.3,427.1,434.95,433,433,432.71,765.85,286,33465332,14480835606,271115
05/08/2020,EQ,439,446.85,433.15,429.15,434.2,434.95,440.15,765.85,286,36936666,16257772753,301181
04/08/2020,EQ,421.85,431.2,417.35,417.35,429,429.15,423.84,765.85,286,24748403,10489411276,208124
03/08/2020,EQ,431.6,431.9,415.7,431.65,419,417.35,421.43,765.85,286,23824147,10040313528,238750
31/07/2020,EQ,429,434.45,421.3,425.85,432.9,431.65,428.84,765.85,286,27499643,11792993543,231122
30/07/2020,EQ,441.9,445.9,424.75,440.9,427,425.85,434.47,765.85,286,26862223,11670884882,242199
29/07/2020,EQ,435.75,447,434.3,437.05,441.5,440.9,442.06,765.85,286,24404909,10788499451,200484
28/07/2020,EQ,434,440,424.4,431.55,436.15,437.05,432.9,765.85,286,33057789,14310567977,270487
27/07/2020,EQ,447,448,429.9,445.6,431.9,431.55,434.54,765.85,286,21924614,9527124711,239539
24/07/2020,EQ,456.6,456.6,441.55,460.85,445.95,445.6,446.76,765.85,286,30567381,13656212425,315058
23/07/2020,EQ,472.95,474.75,459.2,478.95,460.9,460.85,465.01,765.85,286,40250274,18716611547,359159
22/07/2020,EQ,478,484.6,460.1,446.2,476,478.95,471.33,765.85,286,89612153,42237156272,680342
21/07/2020,EQ,440,451,438.5,434,445.9,446.2,444.56,765.85,286,43147781,19181792034,575785
20/07/2020,EQ,437.7,442.8,429.3,433.1,434.55,434,435.38,765.85,286,30400830,13236004375,266406
17/07/2020,EQ,434,439.9,424.6,434,434.5,433.1,431.92,765.85,286,33465094,14454278423,263202
16/07/2020,EQ,431.95,436.15,418.45,426.65,432,434,426.78,765.85,286,30183798,12881755479,234710
15/07/2020,EQ,424,444.45,422.75,417.7,429,426.65,434.49,765.85,286,43250557,18791936051,335522
14/07/2020,EQ,434.9,435.8,415.4,440.05,418.5,417.7,422.06,765.85,286,25686686,10841270034,264579
13/07/2020,EQ,443.95,446.4,432.75,439.6,441,440.05,439.02,765.85,286,21326996,9363067007,240240
10/07/2020,EQ,449.9,451.45,437,453.75,439.4,439.6,443.12,803.65,286,25676461,11377760890,322643
09/07/2020,EQ,447.85,457,446.05,444.15,453.8,453.75,452.36,803.65,286,29162682,13191984723,248173
08/07/2020,EQ,450,461.4,441,447.35,444,444.15,450.01,803.65,286,45878605,20645690226,393904
07/07/2020,EQ,433.5,449,426.2,434,445.95,447.35,438.58,803.65,286,37991906,16662653743,329598
06/07/2020,EQ,434.15,437.6,431.1,428.45,433.75,434,434.51,803.65,286,18425359,8006028768,181904
03/07/2020,EQ,430,431.6,423.65,423.2,429,428.45,427.75,819,286,31044470,13279294778,252003
02/07/2020,EQ,441,441.5,421.3,433.25,424.8,423.2,427.8,819,286,50362840,21545048662,402398
01/07/2020,EQ,410,437.35,406.65,406.65,432.45,433.25,423.3,819,286,53380997,22595986443,424141
30/06/2020,EQ,410,414.8,404.05,404.8,407.3,406.65,409.15,819,286,26951992,11027436265,233118
29/06/2020,EQ,415,415.8,402.35,424.85,404.9,404.8,406.79,819,286,36320111,14774477512,333423
26/06/2020,EQ,426,428.75,418,421.7,426,424.85,422.8,819,286,32611425,13788148358,233244
25/06/2020,EQ,419,428.7,410.35,424.65,418.9,421.7,420.13,819,286,49854504,20945422956,356209
24/06/2020,EQ,448,448.5,422.2,443.65,425.4,424.65,435.17,819,286,33577340,14611725285,304342
23/06/2020,EQ,430.5,445,430.4,430.15,444.4,443.65,437.78,819,286,30757921,13465266735,304611
22/06/2020,EQ,420,435.9,418.1,417.05,430.25,430.15,428.96,819,286,40454158,17353191743,374532
19/06/2020,EQ,407.5,422.3,407.5,405.4,417.15,417.05,416.47,819,286,52085893,21692374592,428871
18/06/2020,EQ,386,408.05,384,389.6,404.75,405.4,396.48,819,286,43774453,17355819369,352937
17/06/2020,EQ,377.45,397.75,375.3,381.55,388.6,389.6,389.74,819,286,56950626,22195731334,458252
16/06/2020,EQ,404.9,405,360.4,389.6,380.2,381.55,379.88,819,286,96190274,36540659423,781976
15/06/2020,EQ,405.95,405.95,383.65,408,389.7,389.6,391.5,819,286,39578304,15494782437,383057
12/06/2020,EQ,390,412.5,389.15,413.45,406.6,408,401.3,823.4,286,47814513,19188023908,425792
11/06/2020,EQ,426.5,435.55,408.7,427.45,414.45,413.45,422.03,823.4,286,45563053,19229027331,394557
10/06/2020,EQ,422.2,432.7,415.3,420.05,431.95,427.45,421.1,823.4,286,36163767,15228461323,306681
09/06/2020,EQ,434.95,442.5,416.5,430.25,417.7,420.05,431.03,823.4,286,46274196,19945664783,377255
08/06/2020,EQ,415,444.75,414,405.3,431.7,430.25,430.98,823.4,286,60387850,26025900060,574895
05/06/2020,EQ,399,409.9,390.5,394.35,408.3,405.3,399.06,827.75,286,39004703,15565068494,347847
04/06/2020,EQ,407.6,413.9,391.55,409.55,395.6,394.35,400.69,827.75,286,45553928,18253011394,418486
03/06/2020,EQ,422,432,405.25,410.1,407.6,409.55,423.47,827.75,286,49057169,20774240921,435889
02/06/2020,EQ,398,415,391.55,396.95,414.7,410.1,402.42,827.75,286,37509637,15094772088,351376
01/06/2020,EQ,394.3,409.5,392.55,384.95,396.2,396.95,401.8,827.75,286,44253432,17780811924,379354
29/05/2020,EQ,382,389.25,375.35,390.95,381.9,384.95,382.92,827.75,286,51056884,19550472220,470861
