Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Aug-20,EQ,46.69,47.39,46.69,46.15,47.3,47.31,47.24,"3,555.00",30.1,5533935,"261,404,021.76",10360
17-Aug-20,EQ,46.32,46.45,45.96,46.32,46.17,46.15,46.18,"3,555.00",30.1,5561180,"256,832,830.40",12529
14/08/2020,EQ,46.39,46.55,46.03,45.99,46.25,46.32,46.33,3555,30.1,9799981,454058362.4,12666
13/08/2020,EQ,46.09,46.29,45.68,45.68,45.92,45.99,45.95,3555,30.1,5994190,275413229.7,12455
12/08/2020,EQ,47.05,47.05,43.16,47.3,45.68,45.68,44.91,3555,30.1,24730118,1110693703,33319
11/08/2020,EQ,48.24,48.3,47.2,48.4,47.28,47.3,47.65,3555,30.1,10759274,512689216.4,22402
10/08/2020,EQ,48.7,48.7,48.3,49.17,48.39,48.4,48.41,3555,30.1,8049003,389675398.8,14786
07/08/2020,EQ,49.21,49.6,48.96,48.9,49.14,49.17,49.19,3555,30.1,13870269,682251190.9,15842
06/08/2020,EQ,48.46,48.95,48.46,48.51,48.87,48.9,48.73,3555,30.1,13145475,640539836.3,20140
05/08/2020,EQ,49,49,47.86,47.26,48.5,48.51,48.32,3555,30.1,13044773,630268123.1,16220
04/08/2020,EQ,47.35,47.5,47.2,47.29,47.22,47.26,47.29,3555,30.1,7100223,335746706.2,12969
03/08/2020,EQ,47.14,47.4,47.14,47.14,47.26,47.29,47.23,3555,30.1,9006224,425397953,13231
31/07/2020,EQ,47,47.25,46.76,46.55,47.12,47.14,47.04,3555,30.1,10546253,496122412.7,13788
30/07/2020,EQ,46.74,46.97,46.41,46.52,46.58,46.55,46.61,3555,30.1,9152356,426615517.2,11113
29/07/2020,EQ,46,46.92,46,46.01,46.54,46.52,46.55,3555,30.1,10039536,467311719.1,11830
28/07/2020,EQ,47.01,47.01,45.65,46.45,45.97,46.01,46.08,3555,30.1,13069006,602230552,18374
27/07/2020,EQ,45.25,46.74,45.25,44.92,46.39,46.45,46.06,3555,30.1,12586691,579690697.7,18378
24/07/2020,EQ,44.66,44.98,44.61,44.5,44.94,44.92,44.82,3555,30.1,5817194,260734332.8,10807
23/07/2020,EQ,44.1,44.57,43.9,43.88,44.51,44.5,44.38,3555,30.1,7025664,311812761.5,9776
22/07/2020,EQ,43.81,44.06,43.74,43.26,43.94,43.88,43.92,3555,30.1,6064182,266325375,11597
21/07/2020,EQ,43.14,43.45,43.1,43.07,43.22,43.26,43.25,3555,30.1,4044183,174926446.5,8324
20/07/2020,EQ,43.11,43.24,42.86,42.88,43.06,43.07,43.03,3555,30.1,3564049,153347206.5,8369
17/07/2020,EQ,43.1,43.1,42.85,43.12,42.94,42.88,42.92,3555,30.1,2576273,110574585.1,6597
16/07/2020,EQ,43.22,43.38,43.08,43.22,43.11,43.12,43.19,3555,30.1,2666757,115173755.3,6684
15/07/2020,EQ,43.19,43.4,43.19,43.12,43.21,43.22,43.28,3555,30.1,4186304,181197765.5,7417
14/07/2020,EQ,43.3,43.37,42.98,43.26,43.07,43.12,43.13,3555,30.1,4056120,174923287,7668
13/07/2020,EQ,43.14,43.45,43.05,43.2,43.22,43.26,43.17,3555,30.1,6116123,264039408.6,8079
10/07/2020,EQ,43.35,43.35,42.93,43.33,43.2,43.2,43.07,3555,30.1,5042493,217187659.4,8465
09/07/2020,EQ,43.01,43.47,43.01,43.01,43.31,43.33,43.26,3555,30.1,8012989,346670192.8,10052
08/07/2020,EQ,42.7,43.08,42.7,42.42,43.04,43.01,42.9,3555,30.1,3921876,168265077.7,8198
07/07/2020,EQ,42.44,42.7,42.37,42.27,42.38,42.42,42.49,3555,30.1,4575753,194418423.4,10169
06/07/2020,EQ,42.23,42.4,42,42.2,42.27,42.27,42.26,3555,30.1,4200838,177528048.5,9018
03/07/2020,EQ,42.29,42.49,42.15,42.24,42.15,42.2,42.25,3555,30.1,5033485,212682501.2,8595
02/07/2020,EQ,42.75,42.75,42.08,43,42.23,42.24,42.36,3555,30.1,9379991,397355177.6,16043
01/07/2020,EQ,43.25,43.44,42.81,42.61,43,43,42.96,3555,30.1,5123564,220103466.1,10202
30/06/2020,EQ,42.49,42.89,42.42,42.49,42.69,42.61,42.57,3555,30.1,4643081,197650027,6998
29/06/2020,EQ,42.33,42.84,42.33,42.33,42.5,42.49,42.57,3555,30.1,4710173,200529110.1,9343
26/06/2020,EQ,42.49,42.68,42.18,42.31,42.3,42.33,42.28,3555,30.1,3155441,133426815.3,6360
25/06/2020,EQ,42.64,42.69,42.11,42.7,42.3,42.31,42.34,3555,30.1,4227771,179001592.1,6123
24/06/2020,EQ,42.22,42.78,42.22,42.22,42.73,42.7,42.59,3555,30.1,3645453,155270535.3,9072
23/06/2020,EQ,43.07,43.07,42.01,42.29,42.18,42.22,42.19,3555,30.1,3277455,138270709.9,8543
22/06/2020,EQ,42.78,42.78,42.05,41.74,42.29,42.29,42.28,3555,30.1,2700607,114176186.2,8868
19/06/2020,EQ,41.99,42.45,41.7,41.84,41.75,41.74,41.8,3555,30.1,2827909,118209046.5,5293
18/06/2020,EQ,41.65,41.99,41.56,41.65,41.75,41.84,41.83,3555,30.1,1965997,82228982.74,5070
