Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14/08/2020,EQ,9,9.35,8.7,9.05,9.05,8.95,9.05,12.6,2.4,332565944,3008146037,232005
13/08/2020,EQ,8.95,9.15,8.8,8.85,9,9.05,8.97,12.6,2.4,182552196,1637578022,166153
12/08/2020,EQ,8.6,9.05,8.55,8.7,8.9,8.85,8.86,12.6,2.4,160030301,1417522177,144475
11/08/2020,EQ,8.9,8.95,8.65,9.1,8.75,8.7,8.77,12.6,2.4,161161541,1413966691,171496
10/08/2020,EQ,9,9.2,8.8,8.85,9.1,9.1,9.06,12.6,2.4,418346262,3790532185,308132
07/08/2020,EQ,7.9,8.95,7.6,8.25,8.8,8.85,8.45,12.6,2.4,687114245,5809462978,294025
06/08/2020,EQ,8.3,8.5,8.15,8.3,8.3,8.25,8.3,12.6,2.4,177570411,1473585276,167117
05/08/2020,EQ,8.6,8.75,8.15,8.65,8.3,8.3,8.43,12.6,2.4,289463946,2440364813,205886
04/08/2020,EQ,8.7,8.95,8.5,8.7,8.6,8.65,8.7,12.6,2.4,328585847,2859230503,239190
03/08/2020,EQ,8.4,8.85,8,8.4,8.65,8.7,8.58,12.6,2.4,422275259,3624030445,135542
31/07/2020,EQ,8.1,8.5,8.1,8,8.4,8.4,8.34,12.6,2.4,340468514,2839744778,225554
30/07/2020,EQ,8.25,8.5,7.95,8.25,8.1,8,8.19,12.6,2.4,293160439,2401126879,207122
29/07/2020,EQ,8,8.65,7.85,8.05,8.25,8.25,8.32,12.6,2.4,359502699,2989882968,176549
28/07/2020,EQ,8.05,8.15,7.8,8.05,8.1,8.05,7.96,12.6,2.4,189221016,1506704920,181553
27/07/2020,EQ,8.2,8.45,8,8.4,8.05,8.05,8.14,12.6,2.4,177640255,1446511584,143034
24/07/2020,EQ,8.4,8.55,8.1,8.6,8.4,8.4,8.37,12.6,2.4,242282991,2027283971,185561
23/07/2020,EQ,8.9,8.9,8.5,8.55,8.55,8.6,8.67,12.6,2.4,232041998,2012004022,256236
22/07/2020,EQ,8.45,9.05,8.35,8.3,8.55,8.55,8.64,12.6,2.4,505621621,4370484228,264807
21/07/2020,EQ,8.95,8.95,8.15,9.1,8.4,8.3,8.45,12.6,2.4,644550188,5445531680,332314
20/07/2020,EQ,9.4,9.7,8.25,8.9,9,9.1,9.38,12.6,2.4,1034536973,9699770801,382209
