Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14/08/2020,EQ,15.9,15.9,15.1,15.85,15.1,15.1,15.2,87.3,5.65,190650308,2897679433,150282
13/08/2020,EQ,17.05,17.05,15.65,16.25,15.95,15.85,16.31,87.3,5.65,722526435,11786375910,578033
12/08/2020,EQ,16.25,16.25,16.25,15.5,16.25,16.25,16.25,87.3,5.65,31868264,517859290,14901
11/08/2020,EQ,15.5,15.5,15.5,14.8,15.5,15.5,15.5,87.3,5.65,34750937,538639523.5,18158
10/08/2020,EQ,14.5,14.8,14.3,14.1,14.8,14.8,14.73,87.3,5.65,221530509,3263721848,118656
07/08/2020,EQ,14,14.1,13.35,13.45,14.1,14.1,13.98,92.45,5.65,706276532,9875651986,328481
06/08/2020,EQ,13.45,13.45,13.15,12.85,13.45,13.45,13.43,92.45,5.65,426044874,5721766844,149380
05/08/2020,EQ,12.25,12.85,12.2,12.25,12.85,12.85,12.75,92.45,5.65,372810294,4755194418,109656
04/08/2020,EQ,12.3,12.4,12.15,12,12.25,12.25,12.24,92.45,5.65,157100547,1923030074,147016
03/08/2020,EQ,12,12.05,11.9,11.95,12,12,11.97,92.45,5.65,90338901,1081581338,69307
31/07/2020,EQ,12.05,12.1,11.9,11.95,12,11.95,11.98,98.7,5.65,120256191,1440410820,104416
30/07/2020,EQ,11.95,12.1,11.85,11.7,11.95,11.95,11.97,98.7,5.65,224040797,2681700597,138434
29/07/2020,EQ,12,12.3,11.65,11.9,11.75,11.7,12.01,98.7,5.65,596484508,7162007021,305776
28/07/2020,EQ,11.1,11.95,11.1,12.3,11.9,11.9,11.55,98.7,5.65,1057437063,12212963858,389359
27/07/2020,EQ,12.3,12.3,12.3,13.65,12.3,12.3,12.3,98.7,5.65,299502649,3683882583,165397
24/07/2020,EQ,14,14.4,13.55,14.75,13.7,13.65,13.85,98.7,5.65,455416170,6309435553,306568
23/07/2020,EQ,14.6,16.45,14.6,18.25,14.75,14.75,15.19,98.7,5.65,453542330,6891334659,355743
22/07/2020,EQ,18.65,19,18.05,19.3,18.35,18.25,18.49,98.7,5.65,47895059,885428232.1,77042
21/07/2020,EQ,19,19.45,18.8,19.45,19.45,19.3,19.16,98.7,5.65,27568130,528123800,53694
20/07/2020,EQ,19.8,19.95,18.7,19.8,19.45,19.45,19.42,98.7,5.65,36859961,715992322,67153
17/07/2020,EQ,18.4,20.4,18.1,19.2,19.9,19.8,19.31,108.5,5.65,71216655,1374963497,119434
16/07/2020,EQ,20,20.25,18.7,20.45,19.15,19.2,19.06,108.5,5.65,38231469,728652689.2,93991
15/07/2020,EQ,20.5,22,20.3,20.95,20.5,20.45,20.96,108.5,5.65,43266944,906745145.3,97745
14/07/2020,EQ,21.8,21.8,20.3,22.05,20.9,20.95,20.89,108.5,5.65,36853467,769703543.5,83277
13/07/2020,EQ,22.05,23.5,21,25.55,22.05,22.05,22.47,108.5,5.65,70087262,1574551965,174461
10/07/2020,EQ,26.7,26.75,24.2,26.65,25.6,25.55,25.52,108.5,5.65,54312841,1385856837,99913
09/07/2020,EQ,27.5,27.5,26.2,26.05,26.7,26.65,26.71,108.5,5.65,42188239,1126675773,74939
08/07/2020,EQ,25.2,27.1,24,25.75,26.1,26.05,26.08,108.5,5.65,33211696,866195395.8,73938
