,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
0,14/08/2020,EQ,46.69,48.99,45.75,46.79,47.08,47.05,47.09,54.1,30.0,438917,20666888.38,1899
1,13/08/2020,EQ,45.75,47.45,45.75,46.42,46.82,46.79,46.75,54.1,30.0,360573,16856026.88,2267
2,12/08/2020,EQ,49.5,49.5,44.98,48.19,46.52,46.42,45.8,54.1,30.0,5129128,234895854.8,5026
3,11/08/2020,EQ,49.0,49.3,48.01,49.36,48.2,48.19,48.55,54.1,30.0,1193539,57948959.89,2833
4,10/08/2020,EQ,54.1,54.1,49.26,50.19,49.4,49.36,49.41,54.1,30.0,3292161,162680361.3,7709
5,07/08/2020,EQ,50.15,52.78,49.96,49.94,50.29,50.19,50.19,52.78,30.0,3477702,174547421.9,2614
6,06/08/2020,EQ,49.48,50.06,49.25,49.48,49.9,49.94,49.78,50.06,30.0,1601174,79714240.39,1929
7,05/08/2020,EQ,48.27,49.65,48.21,48.27,49.5,49.48,49.32,50.0,30.0,1255685,61930005.74,3444
8,04/08/2020,EQ,48.23,48.89,48.16,48.23,48.2,48.27,48.28,50.0,30.0,874691,42226968.43,2973
9,03/08/2020,EQ,48.04,48.88,47.65,48.04,48.22,48.23,48.25,50.0,30.0,1417629,68405637.02,1827
10,31/07/2020,EQ,47.99,49.45,47.14,47.48,47.98,48.04,48.07,50.0,30.0,4360521,209617875.9,9215
11,30/07/2020,EQ,47.11,48.0,47.11,47.43,47.69,47.48,47.42,50.0,30.0,2002096,94942488.33,1666
12,29/07/2020,EQ,47.01,47.8,47.01,46.92,47.41,47.43,47.41,50.0,30.0,178879,8479934.74,1759
13,28/07/2020,EQ,44.3,50.0,44.3,47.13,46.84,46.92,47.03,50.0,30.0,796972,37483010.76,2834
14,27/07/2020,EQ,47.95,48.83,46.01,45.79,47.19,47.13,46.92,49.51,30.0,1579127,74100183.71,9948
15,24/07/2020,EQ,45.38,45.9,45.38,45.48,45.75,45.79,45.77,49.51,29.1,215173,9848922.72,1639
16,23/07/2020,EQ,44.84,45.65,44.74,44.84,45.49,45.48,45.37,49.51,29.1,253254,11489431.25,1653
17,22/07/2020,EQ,41.0,45.0,41.0,44.13,44.85,44.84,44.94,49.51,29.1,796196,35778429.33,1497
18,21/07/2020,EQ,44.02,44.26,44.02,43.99,44.19,44.13,44.18,49.51,29.1,87937,3885041.57,7276
19,20/07/2020,EQ,44.01,44.45,43.81,43.82,43.92,43.99,43.99,49.51,29.1,165594,7284911.47,1979
20,17/07/2020,EQ,43.98,43.99,43.61,43.99,43.86,43.82,43.87,49.51,29.1,123608,5422153.71,843
21,16/07/2020,EQ,43.85,44.29,43.85,44.12,44.07,43.99,44.07,49.51,29.1,652942,28772880.22,1110
22,15/07/2020,EQ,42.3,44.69,40.1,44.02,44.02,44.12,44.18,49.51,29.1,626842,27694494.87,1278
23,14/07/2020,EQ,44.3,44.4,43.82,44.28,44.05,44.02,44.0,49.51,29.1,189723,8348317.79,1116
