,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
0,14/08/2020,EQ,33.5,33.5,31.95,33.25,32.3,32.25,32.63,69.65,26.3,27202906,887532313.1,71044
1,13/08/2020,EQ,34.0,34.3,32.9,33.8,33.3,33.25,33.41,69.65,26.3,24298716,811900407.9,39862
2,12/08/2020,EQ,33.0,34.7,33.0,32.85,33.85,33.8,34.01,69.65,26.3,60046564,2041889509.0,98251
3,11/08/2020,EQ,32.8,33.1,32.5,32.85,32.9,32.85,32.78,69.65,26.3,16076250,526988526.2,29894
4,10/08/2020,EQ,33.0,33.3,32.7,32.8,32.85,32.85,33.01,69.65,26.3,18269325,602996091.1,40615
5,07/08/2020,EQ,32.5,32.95,32.25,32.35,32.9,32.8,32.65,69.65,26.3,18260474,596267357.8,36312
6,06/08/2020,EQ,32.6,32.9,32.25,32.6,32.35,32.35,32.57,69.65,26.3,21227163,691292537.7,36438
7,05/08/2020,EQ,32.65,33.15,32.45,32.5,32.5,32.6,32.77,69.65,26.3,17788892,582919205.1,35015
8,04/08/2020,EQ,32.85,32.9,32.05,32.9,32.6,32.5,32.39,69.65,26.3,21120940,684195513.3,33887
9,03/08/2020,EQ,32.0,33.35,31.85,31.95,32.75,32.9,32.8,69.65,26.3,36462844,1195850641.0,42323
10,31/07/2020,EQ,31.9,32.15,31.25,31.75,32.05,31.95,31.7,70.3,26.3,30716405,973607747.9,49626
11,30/07/2020,EQ,32.8,33.1,31.65,32.75,31.75,31.75,32.23,70.3,26.3,26798968,863791144.0,63674
12,29/07/2020,EQ,32.1,33.55,32.1,32.1,32.7,32.75,32.95,70.3,26.3,28066086,924887725.4,63382
13,28/07/2020,EQ,32.35,32.65,31.75,32.3,32.1,32.1,32.15,70.3,26.3,24367645,783539180.3,70521
14,27/07/2020,EQ,33.65,33.65,32.25,33.55,32.3,32.3,32.74,70.3,26.3,22870440,748831746.2,57518
15,24/07/2020,EQ,34.1,34.2,33.15,34.3,33.55,33.55,33.62,73.55,26.3,20995087,705862691.3,43410
16,23/07/2020,EQ,34.1,34.7,34.05,34.25,34.25,34.3,34.34,73.55,26.3,18336453,629663835.2,66464
17,22/07/2020,EQ,34.85,35.1,33.9,34.75,34.2,34.25,34.38,73.55,26.3,26175713,899888381.1,52791
18,21/07/2020,EQ,34.95,35.2,34.3,34.55,34.8,34.75,34.76,73.55,26.3,25336349,880714529.6,47918
19,20/07/2020,EQ,33.9,34.75,33.6,33.6,34.45,34.55,34.14,73.55,26.3,19422998,663198205.2,62258
20,17/07/2020,EQ,33.45,33.8,33.2,33.25,33.75,33.6,33.49,76.15,26.3,15740496,527084739.4,49447
21,16/07/2020,EQ,33.0,33.45,32.25,33.0,33.4,33.25,32.85,76.15,26.3,17806806,585025145.7,68135
22,15/07/2020,EQ,33.7,34.15,32.75,33.55,32.85,33.0,33.55,76.15,26.3,22967686,770506985.7,80237
